Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Distance_KM,Lead_Time_Days,Profit_Margin,Factory_Lat,Factory_Lon,Customer_Lat,Customer_Lon
41,ORD-786508,2023-10-19,2023-10-22,Same-Day,CUST-6279,United States,San Antonio,TX,70946,Chocolate,South,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,34588.9,1771,-60389.11,20274.98,Wicked Choccy's,1687.25,3.06,-1.7459,32.076176,-81.088371,29.4241,-98.4936
42,ORD-796101,2023-08-15,2023-08-19,Same-Day,CUST-6491,United States,Houston,TX,22240,Sugar,South,PRD-S-003,Nerds,32117.84,1440,-62845.99,21431.18,Sugar Shack,2042.57,4.13,-1.9567,48.11914,-96.18115,29.7604,-95.3698
43,ORD-991014,2023-05-01,2023-05-08,Standard,CUST-2193,United States,Phoenix,AZ,69692,Sugar,West,PRD-S-006,Hair Toffee,6060.01,428,-41201.15,3711.89,The Other Factory,2035.01,7.9,-6.7989,35.1175,-89.971107,33.4484,-112.074
44,ORD-105814,2023-08-01,2023-08-10,Standard,CUST-2746,United States,San Jose,CA,65724,Other,West,PRD-O-004,Kazookles,50624.62,3323,-453301.5,28776.4,The Other Factory,2859.76,9.73,-8.9542,35.1175,-89.971107,37.3382,-121.8863
45,ORD-800005,2023-04-23,2023-04-26,Express,CUST-9702,United States,Dallas,TX,83259,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,23017.1,1044,-47719.3,12368.19,Lot's O' Nuts,1397.71,3.66,-2.0732,32.881893,-111.768036,32.7767,-96.797
46,ORD-266889,2023-11-01,2023-11-05,Same-Day,CUST-8777,United States,San Diego,CA,68991,Sugar,West,PRD-S-001,Laffy Taffy,104193.32,3545,-175012.22,61890.52,Sugar Shack,2452.07,4.7,-1.6797,48.11914,-96.18115,32.7157,-117.1611
47,ORD-181247,2023-05-13,2023-05-16,Same-Day,CUST-5681,United States,Houston,TX,40735,Other,South,PRD-O-002,Lickable Wallpaper,86367.4,4019,-109108.48,57878.53,Secret Factory,1369.47,3.17,-1.2633,41.446333,-90.565487,29.7604,-95.3698
48,ORD-167348,2023-05-20,2023-05-22,Same-Day,CUST-7797,United States,Philadelphia,PA,63424,Sugar,East,PRD-S-001,Laffy Taffy,88126.26,3187,-112436.88,49109.27,Sugar Shack,1900.9,2.67,-1.2759,48.11914,-96.18115,39.9526,-75.1652
49,ORD-829308,2023-06-19,2023-06-25,Express,CUST-1320,United States,San Diego,CA,85456,Sugar,West,PRD-S-004,Fun Dip,102830.64,3240,-275133.25,60175.15,Sugar Shack,2452.07,6.23,-2.6756,48.11914,-96.18115,32.7157,-117.1611
50,ORD-938722,2023-07-14,2023-07-18,Express,CUST-4613,United States,New York,NY,73993,Sugar,East,PRD-S-003,Nerds,82586.67,3482,-232446.76,45521.26,Sugar Shack,1935.04,4.98,-2.8146,48.11914,-96.18115,40.7128,-74.006
51,ORD-233827,2023-04-23,2023-04-27,Express,CUST-9751,United States,San Antonio,TX,13534,Chocolate,South,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,100706.8,3362,-179525.16,53330.47,Wicked Choccy's,1687.25,4.23,-1.7827,32.076176,-81.088371,29.4241,-98.4936
52,ORD-372793,2023-07-21,2023-07-25,Same-Day,CUST-7211,United States,San Jose,CA,52906,Sugar,West,PRD-S-005,Everlasting Gobstopper,29830.43,1161,-69866.22,20901.22,Secret Factory,2714.74,4.19,-2.3421,41.446333,-90.565487,37.3382,-121.8863
53,ORD-120324,2023-04-19,2023-04-24,Express,CUST-9837,United States,Philadelphia,PA,16826,Sugar,East,PRD-S-003,Nerds,41766.0,3503,-255358.12,30770.61,Sugar Shack,1900.9,5.37,-6.114,48.11914,-96.18115,39.9526,-75.1652
54,ORD-259784,2023-06-29,2023-07-03,Same-Day,CUST-4908,United States,Los Angeles,CA,26544,Chocolate,West,PRD-C-004,Wonka Bar - Milk Chocolate,21790.66,2075,-173782.3,16580.1,Wicked Choccy's,3450.46,4.02,-7.9751,32.076176,-81.088371,34.0522,-118.2437
55,ORD-736745,2023-08-31,2023-09-04,Same-Day,CUST-2876,United States,Los Angeles,CA,31465,Sugar,West,PRD-S-006,Hair Toffee,50271.31,2149,-123926.37,35465.96,The Other Factory,2582.26,4.25,-2.4652,35.1175,-89.971107,34.0522,-118.2437
56,ORD-179688,2023-06-09,2023-06-15,Standard,CUST-4978,United States,San Jose,CA,23356,Chocolate,West,PRD-C-002,Wonka Bar - Fudge Mallows,61590.46,3124,-135758.64,34207.23,Lot's O' Nuts,1044.44,6.81,-2.2042,32.881893,-111.768036,37.3382,-121.8863
57,ORD-549186,2023-12-23,2023-12-26,Same-Day,CUST-7071,United States,Phoenix,AZ,19038,Other,West,PRD-O-002,Lickable Wallpaper,121038.48,4686,-202137.32,78441.44,Secret Factory,2089.07,3.07,-1.67,41.446333,-90.565487,33.4484,-112.074
58,ORD-968962,2023-09-17,2023-09-24,Standard,CUST-8532,United States,Philadelphia,PA,30052,Sugar,East,PRD-S-006,Hair Toffee,16333.22,914,-58601.08,10513.61,The Other Factory,1409.64,7.75,-3.5878,35.1175,-89.971107,39.9526,-75.1652
59,ORD-965845,2023-08-11,2023-08-14,Same-Day,CUST-5397,United States,Dallas,TX,52245,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,120427.19,4458,-109437.44,74090.27,Lot's O' Nuts,1397.71,3.25,-0.9087,32.881893,-111.768036,32.7767,-96.797
60,ORD-452737,2023-05-06,2023-05-12,Express,CUST-1470,United States,Los Angeles,CA,74789,Other,West,PRD-O-003,Wonka Gum,92346.5,3856,-354074.13,52240.1,Secret Factory,2555.63,6.34,-3.8342,41.446333,-90.565487,34.0522,-118.2437
61,ORD-389688,2023-06-16,2023-06-20,Standard,CUST-1166,United States,San Diego,CA,77715,Chocolate,West,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,76287.92,2340,-25321.73,42599.23,Lot's O' Nuts,504.36,4.11,-0.3319,32.881893,-111.768036,32.7157,-117.1611
62,ORD-614663,2023-04-08,2023-04-11,Same-Day,CUST-8342,United States,Houston,TX,12260,Chocolate,South,PRD-C-002,Wonka Bar - Fudge Mallows,54306.88,2018,-57108.48,30994.74,Lot's O' Nuts,1594.07,3.13,-1.0516,32.881893,-111.768036,29.7604,-95.3698
63,ORD-460455,2023-02-17,2023-02-21,Express,CUST-7971,United States,Houston,TX,82140,Chocolate,South,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,85581.39,4814,-231904.25,50716.97,Wicked Choccy's,1385.38,4.37,-2.7098,32.076176,-81.088371,29.7604,-95.3698
64,ORD-899213,2023-06-19,2023-06-24,Express,CUST-4033,United States,San Diego,CA,35105,Sugar,West,PRD-S-001,Laffy Taffy,28821.69,1627,-146595.21,15835.95,Sugar Shack,2452.07,5.58,-5.0863,48.11914,-96.18115,32.7157,-117.1611
65,ORD-973074,2023-04-21,2023-04-28,Express,CUST-4180,United States,San Diego,CA,48829,Other,West,PRD-O-001,Fizzy Lifting Drinks,120470.08,4347,-366545.23,60648.74,Sugar Shack,2452.07,7.11,-3.0426,48.11914,-96.18115,32.7157,-117.1611
66,ORD-406327,2023-04-27,2023-04-30,Express,CUST-3068,United States,Chicago,IL,93606,Sugar,Midwest,PRD-S-001,Laffy Taffy,17467.44,2297,-84262.33,13053.24,Sugar Shack,965.13,3.36,-4.824,48.11914,-96.18115,41.8781,-87.6298
67,ORD-600935,2023-09-09,2023-09-13,Same-Day,CUST-2869,United States,New York,NY,18564,Chocolate,East,PRD-C-002,Wonka Bar - Fudge Mallows,29473.57,2841,-237248.85,22061.66,Lot's O' Nuts,3444.71,4.8,-8.0495,32.881893,-111.768036,40.7128,-74.006
68,ORD-189318,2023-07-25,2023-07-28,Same-Day,CUST-5066,United States,Los Angeles,CA,25525,Sugar,West,PRD-S-003,Nerds,42895.54,1272,-55464.91,21836.59,Sugar Shack,2406.41,3.3,-1.293,48.11914,-96.18115,34.0522,-118.2437
69,ORD-411797,2023-10-13,2023-10-16,Same-Day,CUST-8025,United States,San Antonio,TX,50026,Other,South,PRD-O-002,Lickable Wallpaper,89742.17,4330,-120708.56,46355.55,Secret Factory,1515.89,3.24,-1.3451,41.446333,-90.565487,29.4241,-98.4936
70,ORD-185131,2023-10-19,2023-10-21,Same-Day,CUST-3573,United States,New York,NY,41439,Sugar,East,PRD-S-005,Everlasting Gobstopper,37426.18,1752,-48578.29,25198.53,Secret Factory,1388.26,2.52,-1.298,41.446333,-90.565487,40.7128,-74.006
71,ORD-402099,2023-03-30,2023-04-06,Standard,CUST-5632,United States,Los Angeles,CA,69510,Sugar,West,PRD-S-004,Fun Dip,78322.18,4914,-572140.11,59207.25,Sugar Shack,2406.41,7.49,-7.305,48.11914,-96.18115,34.0522,-118.2437
72,ORD-779094,2023-02-06,2023-02-09,Express,CUST-3441,United States,Houston,TX,44816,Sugar,South,PRD-S-006,Hair Toffee,31942.23,1670,-39274.87,18999.73,The Other Factory,781.7,3.98,-1.2296,35.1175,-89.971107,29.7604,-95.3698
73,ORD-591465,2023-03-14,2023-03-25,Standard,CUST-5982,United States,New York,NY,62757,Chocolate,East,PRD-C-002,Wonka Bar - Fudge Mallows,142528.64,4712,-757715.7,88669.89,Lot's O' Nuts,3444.71,11.37,-5.3162,32.881893,-111.768036,40.7128,-74.006
74,ORD-127121,2023-05-20,2023-05-25,Express,CUST-2496,United States,Dallas,TX,40005,Sugar,South,PRD-S-004,Fun Dip,99029.89,3589,-203484.37,57488.63,Sugar Shack,1706.78,5.07,-2.0548,48.11914,-96.18115,32.7767,-96.797
75,ORD-283700,2023-12-12,2023-12-17,Same-Day,CUST-8708,United States,San Jose,CA,78021,Other,West,PRD-O-003,Wonka Gum,56481.33,2257,-127491.92,30793.84,Secret Factory,2714.74,5.19,-2.2572,41.446333,-90.565487,37.3382,-121.8863
76,ORD-528184,2023-11-30,2023-12-08,Standard,CUST-6460,United States,Phoenix,AZ,52081,Sugar,West,PRD-S-003,Nerds,129778.3,4078,-378321.48,79667.11,Sugar Shack,2101.19,8.85,-2.9151,48.11914,-96.18115,33.4484,-112.074
77,ORD-576919,2023-12-10,2023-12-15,Express,CUST-2442,United States,Chicago,IL,51224,Chocolate,Midwest,PRD-C-002,Wonka Bar - Fudge Mallows,96533.52,3330,-273101.01,57287.62,Lot's O' Nuts,2344.95,5.91,-2.8291,32.881893,-111.768036,41.8781,-87.6298
78,ORD-533321,2023-05-10,2023-05-16,Express,CUST-1888,United States,Los Angeles,CA,34586,Sugar,West,PRD-S-001,Laffy Taffy,1473.25,59,-5082.91,877.03,Sugar Shack,2406.41,6.95,-3.4501,48.11914,-96.18115,34.0522,-118.2437
79,ORD-402020,2023-09-23,2023-09-29,Express,CUST-8178,United States,San Jose,CA,73532,Sugar,West,PRD-S-001,Laffy Taffy,21520.05,1717,-158844.09,15463.03,Sugar Shack,2401.01,6.61,-7.3812,48.11914,-96.18115,37.3382,-121.8863
80,ORD-982277,2023-03-04,2023-03-09,Standard,CUST-2858,United States,San Jose,CA,70482,Chocolate,West,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,2937.97,162,-7673.98,2151.97,Lot's O' Nuts,1044.44,5.97,-2.612,32.881893,-111.768036,37.3382,-121.8863
81,ORD-595158,2023-03-02,2023-03-05,Express,CUST-4993,United States,Chicago,IL,69871,Sugar,Midwest,PRD-S-006,Hair Toffee,42107.95,2289,-54907.66,25710.86,The Other Factory,778.78,3.62,-1.304,35.1175,-89.971107,41.8781,-87.6298
82,ORD-928381,2023-10-10,2023-10-17,Standard,CUST-7798,United States,San Antonio,TX,54548,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,31327.61,1168,-66697.0,20977.75,Lot's O' Nuts,1319.3,7.24,-2.129,32.881893,-111.768036,29.4241,-98.4936
83,ORD-255813,2023-09-17,2023-09-21,Express,CUST-8316,United States,New York,NY,80592,Chocolate,East,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,157574.0,4800,-159099.99,95920.97,Wicked Choccy's,1149.76,4.82,-1.0097,32.076176,-81.088371,40.7128,-74.006
84,ORD-350405,2023-09-05,2023-09-08,Same-Day,CUST-7274,United States,Philadelphia,PA,40613,Sugar,East,PRD-S-001,Laffy Taffy,96280.26,2686,-79831.15,48466.25,Sugar Shack,1900.9,3.35,-0.8292,48.11914,-96.18115,39.9526,-75.1652
85,ORD-960616,2023-07-30,2023-08-04,Same-Day,CUST-3492,United States,Philadelphia,PA,74923,Chocolate,East,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,60420.03,3173,-239030.64,34240.42,Lot's O' Nuts,3343.34,5.45,-3.9561,32.881893,-111.768036,39.9526,-75.1652
86,ORD-116093,2023-01-19,2023-01-21,Same-Day,CUST-3361,United States,Dallas,TX,63736,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,46007.59,3656,-105490.95,23748.19,Lot's O' Nuts,1397.71,2.21,-2.2929,32.881893,-111.768036,32.7767,-96.797
87,ORD-993744,2023-12-02,2023-12-05,Express,CUST-9742,United States,Los Angeles,CA,59808,Chocolate,West,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,92451.73,3306,-37564.21,48755.4,Lot's O' Nuts,614.49,3.16,-0.4063,32.881893,-111.768036,34.0522,-118.2437
88,ORD-555052,2023-06-12,2023-06-15,Same-Day,CUST-2612,United States,San Diego,CA,93066,Sugar,West,PRD-S-006,Hair Toffee,87467.98,2404,-111689.1,47987.18,The Other Factory,2515.31,3.14,-1.2769,35.1175,-89.971107,32.7157,-117.1611
89,ORD-407618,2023-12-27,2024-01-01,Express,CUST-6873,United States,Los Angeles,CA,59131,Other,West,PRD-O-003,Wonka Gum,3032.96,287,-27938.68,1632.99,Secret Factory,2555.63,5.7,-9.2117,41.446333,-90.565487,34.0522,-118.2437
90,ORD-501126,2023-08-09,2023-08-12,Same-Day,CUST-4945,United States,Houston,TX,75230,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,15603.82,1525,-56683.31,11513.38,Lot's O' Nuts,1594.07,3.32,-3.6327,32.881893,-111.768036,29.7604,-95.3698
91,ORD-401603,2023-10-26,2023-10-30,Express,CUST-9955,United States,Houston,TX,30706,Chocolate,South,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,3786.1,126,-6576.93,2328.94,Lot's O' Nuts,1594.07,4.88,-1.7371,32.881893,-111.768036,29.7604,-95.3698
92,ORD-503380,2023-02-07,2023-02-10,Same-Day,CUST-8916,United States,Philadelphia,PA,23979,Sugar,East,PRD-S-003,Nerds,37585.53,2098,-86983.07,24866.62,Sugar Shack,1900.9,3.99,-2.3143,48.11914,-96.18115,39.9526,-75.1652
93,ORD-515032,2023-05-02,2023-05-08,Express,CUST-5497,United States,San Jose,CA,11061,Sugar,West,PRD-S-002,SweeTARTS,24739.64,2468,-225439.89,13152.2,Sugar Shack,2401.01,6.91,-9.1125,48.11914,-96.18115,37.3382,-121.8863
94,ORD-940886,2023-10-17,2023-10-20,Same-Day,CUST-6772,United States,New York,NY,38705,Other,East,PRD-O-003,Wonka Gum,58190.34,2394,-64724.08,39826.86,Secret Factory,1388.26,3.51,-1.1123,41.446333,-90.565487,40.7128,-74.006
95,ORD-777737,2023-11-22,2023-11-30,Express,CUST-1645,United States,San Jose,CA,50492,Chocolate,West,PRD-C-004,Wonka Bar - Milk Chocolate,32610.41,1170,-159564.45,16875.75,Wicked Choccy's,3745.71,8.75,-4.8931,32.076176,-81.088371,37.3382,-121.8863
96,ORD-310548,2023-08-14,2023-08-17,Express,CUST-3165,United States,San Jose,CA,80701,Chocolate,West,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,38856.95,2467,-88633.85,24425.24,Lot's O' Nuts,1044.44,3.54,-2.281,32.881893,-111.768036,37.3382,-121.8863
97,ORD-455168,2023-07-07,2023-07-11,Express,CUST-2886,United States,Dallas,TX,71385,Sugar,South,PRD-S-004,Fun Dip,117491.39,3997,-233373.44,77984.51,Sugar Shack,1706.78,4.95,-1.9863,48.11914,-96.18115,32.7767,-96.797
