Order ID,Order Date,Ship Date,Ship Mode,Customer ID,City,State/Province,Region,Division,Product ID,Product Name,Sales,Units,Cost,Gross Profit,Factory,Distance_KM,Lead_Time_Days,Factory_Lat,Factory_Lon,Customer_Lat,Customer_Lon
ORD-509386,2023-03-27,2023-04-01,Express,CUST-5345,San Diego,CA,West,Sugar,PRD-S-002,SweeTARTS,5152.5,530,3958.87,-885.73,Sugar Shack,2452.07,5.74,48.11914,-96.18115,32.7157,-117.1611
ORD-299122,2023-08-21,2023-08-25,Same-Day,CUST-5861,San Antonio,TX,South,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,112712.35,4602,68698.98,36248.64,Wicked Choccy's,1687.25,4.16,32.076176,-81.088371,29.4241,-98.4936
ORD-994141,2023-04-22,2023-04-24,Same-Day,CUST-9701,San Jose,CA,West,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,4867.94,518,2979.61,1347.31,Lot's O' Nuts,1044.44,2.94,32.881893,-111.768036,37.3382,-121.8863
ORD-225710,2023-03-22,2023-03-28,Standard,CUST-5033,Dallas,TX,South,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,13427.38,606,9167.68,2565.68,Lot's O' Nuts,1397.71,6.6,32.881893,-111.768036,32.7767,-96.797
ORD-314181,2023-10-24,2023-10-26,Same-Day,CUST-6147,New York,NY,East,Sugar,PRD-S-005,Everlasting Gobstopper,117451.82,4680,60099.35,50855.4,Secret Factory,1388.26,2.92,41.446333,-90.565487,40.7128,-74.006
ORD-109767,2023-05-03,2023-05-10,Standard,CUST-8508,San Antonio,TX,South,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,97729.44,2640,49989.13,38831.63,Wicked Choccy's,1687.25,7.17,32.076176,-81.088371,29.4241,-98.4936
ORD-356150,2023-11-15,2023-11-23,Standard,CUST-7054,Los Angeles,CA,West,Sugar,PRD-S-005,Everlasting Gobstopper,41329.17,1135,21563.74,13964.15,Secret Factory,2555.63,8.95,41.446333,-90.565487,34.0522,-118.2437
ORD-413921,2023-05-26,2023-05-28,Same-Day,CUST-2697,San Diego,CA,West,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,41987.1,4383,22429.33,17347.15,Lot's O' Nuts,504.36,2.27,32.881893,-111.768036,32.7157,-117.1611
ORD-313487,2023-03-10,2023-03-20,Standard,CUST-5325,Los Angeles,CA,West,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,59806.36,2358,33182.83,10351.14,Wicked Choccy's,3450.46,10.62,32.076176,-81.088371,34.0522,-118.2437
ORD-237174,2023-09-16,2023-09-23,Standard,CUST-5291,Phoenix,AZ,West,Sugar,PRD-S-003,Nerds,20106.46,2316,13111.57,-2737.82,Sugar Shack,2101.19,7.02,48.11914,-96.18115,33.4484,-112.074
ORD-256294,2023-03-24,2023-03-28,Same-Day,CUST-9938,San Diego,CA,West,Other,PRD-O-001,Fizzy Lifting Drinks,11356.14,966,5920.28,3067.15,Sugar Shack,2452.07,4.15,48.11914,-96.18115,32.7157,-117.1611
ORD-934794,2023-01-19,2023-01-21,Same-Day,CUST-1653,Philadelphia,PA,East,Other,PRD-O-003,Wonka Gum,7278.35,392,3772.56,2993.42,Secret Factory,1307.07,2.73,41.446333,-90.565487,39.9526,-75.1652
ORD-348237,2023-07-03,2023-07-06,Same-Day,CUST-3662,Houston,TX,South,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,120889.19,3379,66253.93,49954.07,Wicked Choccy's,1385.38,3.11,32.076176,-81.088371,29.7604,-95.3698
ORD-950132,2023-04-01,2023-04-06,Standard,CUST-5065,San Antonio,TX,South,Other,PRD-O-004,Kazookles,111030.98,3422,58288.73,45758.25,The Other Factory,1020.46,5.79,35.1175,-89.971107,29.4241,-98.4936
ORD-466643,2023-05-17,2023-05-21,Express,CUST-6000,Los Angeles,CA,West,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,29073.81,1872,14964.01,12269.28,Lot's O' Nuts,614.49,4.14,32.881893,-111.768036,34.0522,-118.2437
ORD-772642,2023-04-27,2023-04-29,Same-Day,CUST-9346,New York,NY,East,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,18024.0,618,12053.06,5260.39,Wicked Choccy's,1149.76,2.24,32.076176,-81.088371,40.7128,-74.006
ORD-378361,2023-07-24,2023-07-27,Express,CUST-1626,Dallas,TX,South,Sugar,PRD-S-006,Hair Toffee,33175.74,2189,16808.27,13981.94,The Other Factory,681.11,3.2,35.1175,-89.971107,32.7767,-96.797
ORD-299312,2023-02-25,2023-03-01,Express,CUST-5173,San Antonio,TX,South,Sugar,PRD-S-005,Everlasting Gobstopper,55088.39,4239,28548.34,16258.68,Secret Factory,1515.89,4.62,41.446333,-90.565487,29.4241,-98.4936
ORD-796503,2023-01-23,2023-01-31,Standard,CUST-6409,San Antonio,TX,South,Other,PRD-O-001,Fizzy Lifting Drinks,23487.08,1664,17410.97,-873.37,Sugar Shack,2088.19,8.43,48.11914,-96.18115,29.4241,-98.4936
ORD-681343,2023-11-16,2023-11-20,Same-Day,CUST-3085,Los Angeles,CA,West,Sugar,PRD-S-001,Laffy Taffy,60053.07,3395,33585.86,18297.44,Sugar Shack,2406.41,4.12,48.11914,-96.18115,34.0522,-118.2437
ORD-100425,2023-04-09,2023-04-12,Same-Day,CUST-5978,San Antonio,TX,South,Sugar,PRD-S-002,SweeTARTS,75475.73,4712,44831.14,20805.07,Sugar Shack,2088.19,3.22,48.11914,-96.18115,29.4241,-98.4936
ORD-596171,2023-05-27,2023-05-29,Same-Day,CUST-3780,San Antonio,TX,South,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,61867.48,3669,42679.26,12997.69,Wicked Choccy's,1687.25,2.97,32.076176,-81.088371,29.4241,-98.4936
ORD-805477,2023-12-04,2023-12-05,Same-Day,CUST-6085,Phoenix,AZ,West,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,25707.63,815,14080.23,11571.06,Lot's O' Nuts,69.13,1.83,32.881893,-111.768036,33.4484,-112.074
ORD-577538,2023-04-26,2023-05-01,Standard,CUST-7790,Houston,TX,South,Other,PRD-O-002,Lickable Wallpaper,102657.6,3942,55854.63,36006.08,Secret Factory,1369.47,5.16,41.446333,-90.565487,29.7604,-95.3698
ORD-887443,2023-11-19,2023-11-21,Same-Day,CUST-2746,Houston,TX,South,Sugar,PRD-S-005,Everlasting Gobstopper,26316.37,2048,14773.39,8738.31,Secret Factory,1369.47,2.96,41.446333,-90.565487,29.7604,-95.3698
ORD-239816,2023-08-06,2023-08-08,Same-Day,CUST-8612,Chicago,IL,Midwest,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,54333.63,2091,39231.45,12521.49,Wicked Choccy's,1234.19,2.07,32.076176,-81.088371,41.8781,-87.6298
ORD-629298,2023-12-08,2023-12-11,Same-Day,CUST-7991,Dallas,TX,South,Sugar,PRD-S-004,Fun Dip,94047.51,3675,52147.46,35627.63,Sugar Shack,1706.78,3.5,48.11914,-96.18115,32.7767,-96.797
ORD-915451,2023-10-08,2023-10-10,Same-Day,CUST-9540,Chicago,IL,Midwest,Sugar,PRD-S-003,Nerds,54558.81,2075,36515.73,16040.43,Sugar Shack,965.13,2.57,48.11914,-96.18115,41.8781,-87.6298
ORD-666390,2023-09-06,2023-09-09,Express,CUST-2320,Houston,TX,South,Sugar,PRD-S-006,Hair Toffee,27244.24,1970,17879.18,6901.15,The Other Factory,781.7,3.76,35.1175,-89.971107,29.7604,-95.3698
ORD-588557,2023-03-12,2023-03-17,Express,CUST-7812,Houston,TX,South,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,9901.07,576,6464.46,1967.52,Lot's O' Nuts,1594.07,5.3,32.881893,-111.768036,29.7604,-95.3698
ORD-498858,2023-02-01,2023-02-06,Express,CUST-8814,San Antonio,TX,South,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,6882.31,210,3748.71,2566.69,Wicked Choccy's,1687.25,5.48,32.076176,-81.088371,29.4241,-98.4936
ORD-938722,2023-01-04,2023-01-10,Express,CUST-4613,Phoenix,AZ,West,Sugar,PRD-S-001,Laffy Taffy,82586.67,3482,45521.26,25359.26,Sugar Shack,2101.19,6.65,48.11914,-96.18115,33.4484,-112.074
ORD-233827,2023-09-07,2023-09-13,Express,CUST-9751,Phoenix,AZ,West,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,100706.8,3362,53330.47,31826.78,Wicked Choccy's,2890.68,6.69,32.076176,-81.088371,33.4484,-112.074
ORD-152727,2023-01-14,2023-01-15,Same-Day,CUST-5262,San Antonio,TX,South,Other,PRD-O-004,Kazookles,40666.38,3561,25053.39,11979.15,The Other Factory,1020.46,1.84,35.1175,-89.971107,29.4241,-98.4936
ORD-542042,2023-07-14,2023-07-19,Express,CUST-5133,Houston,TX,South,Sugar,PRD-S-001,Laffy Taffy,56898.36,3155,28943.49,17643.96,Sugar Shack,2042.57,5.74,48.11914,-96.18115,29.7604,-95.3698
ORD-783414,2023-02-11,2023-02-15,Same-Day,CUST-1659,New York,NY,East,Sugar,PRD-S-003,Nerds,32875.12,2916,24387.48,2845.07,Sugar Shack,1935.04,4.2,48.11914,-96.18115,40.7128,-74.006
ORD-328552,2023-01-16,2023-01-22,Standard,CUST-8619,Houston,TX,South,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,100160.67,3929,59099.56,30174.8,Wicked Choccy's,1385.38,6.37,32.076176,-81.088371,29.7604,-95.3698
ORD-426147,2023-12-25,2023-12-31,Standard,CUST-2771,Philadelphia,PA,East,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,23294.64,988,16466.88,4803.32,Wicked Choccy's,1024.51,6.71,32.076176,-81.088371,39.9526,-75.1652
ORD-720859,2023-10-24,2023-10-26,Same-Day,CUST-4978,Phoenix,AZ,West,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,90766.73,3299,63083.67,27455.0,Lot's O' Nuts,69.13,2.35,32.881893,-111.768036,33.4484,-112.074
ORD-549186,2023-02-22,2023-02-25,Same-Day,CUST-7071,Phoenix,AZ,West,Other,PRD-O-001,Fizzy Lifting Drinks,121038.48,4686,78441.44,32750.87,Sugar Shack,2101.19,3.08,48.11914,-96.18115,33.4484,-112.074
ORD-968962,2023-02-05,2023-02-13,Standard,CUST-8532,Philadelphia,PA,East,Sugar,PRD-S-004,Fun Dip,16333.22,914,10513.61,2344.78,Sugar Shack,1900.9,8.73,48.11914,-96.18115,39.9526,-75.1652
ORD-912270,2023-12-29,2024-01-05,Standard,CUST-8921,San Antonio,TX,South,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,62603.55,2262,32207.91,24427.15,Lot's O' Nuts,1319.3,7.55,32.881893,-111.768036,29.4241,-98.4936
ORD-886931,2023-08-27,2023-09-01,Express,CUST-8613,San Jose,CA,West,Sugar,PRD-S-002,SweeTARTS,11261.43,759,6970.6,1375.05,Sugar Shack,2401.01,5.53,48.11914,-96.18115,37.3382,-121.8863
ORD-370902,2023-10-19,2023-10-23,Express,CUST-6576,San Antonio,TX,South,Sugar,PRD-S-005,Everlasting Gobstopper,29341.89,1539,18950.09,6659.07,Secret Factory,1515.89,4.73,41.446333,-90.565487,29.4241,-98.4936
ORD-855053,2023-05-24,2023-05-28,Same-Day,CUST-7658,San Jose,CA,West,Other,PRD-O-004,Kazookles,111927.68,4282,82304.06,17378.12,The Other Factory,2859.76,4.63,35.1175,-89.971107,37.3382,-121.8863
ORD-332360,2023-09-08,2023-09-11,Same-Day,CUST-7625,Houston,TX,South,Sugar,PRD-S-004,Fun Dip,85816.01,3721,62862.55,15353.05,Sugar Shack,2042.57,3.85,48.11914,-96.18115,29.7604,-95.3698
ORD-677124,2023-12-21,2023-12-25,Same-Day,CUST-6419,Phoenix,AZ,West,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,89250.31,4399,44677.83,31856.38,Wicked Choccy's,2890.68,4.39,32.076176,-81.088371,33.4484,-112.074
ORD-899213,2023-06-30,2023-07-05,Express,CUST-4033,San Diego,CA,West,Other,PRD-O-001,Fizzy Lifting Drinks,28821.69,1627,15835.95,6602.5,Sugar Shack,2452.07,5.58,48.11914,-96.18115,32.7157,-117.1611
ORD-973074,2023-04-09,2023-04-17,Express,CUST-4180,San Diego,CA,West,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,120470.08,4347,60648.74,36374.98,Wicked Choccy's,3371.05,8.58,32.076176,-81.088371,32.7157,-117.1611
ORD-680238,2023-06-01,2023-06-06,Standard,CUST-5786,Philadelphia,PA,East,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,19618.95,1086,9898.53,7495.18,Wicked Choccy's,1024.51,5.72,32.076176,-81.088371,39.9526,-75.1652
ORD-153872,2023-12-24,2023-12-29,Standard,CUST-5136,San Diego,CA,West,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,72992.13,3895,47443.88,21619.27,Lot's O' Nuts,504.36,5.62,32.881893,-111.768036,32.7157,-117.1611
ORD-418594,2023-09-02,2023-09-05,Express,CUST-2395,Los Angeles,CA,West,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,6645.48,489,3557.92,2606.78,Lot's O' Nuts,614.49,3.34,32.881893,-111.768036,34.0522,-118.2437
ORD-564226,2023-05-08,2023-05-13,Express,CUST-5871,Dallas,TX,South,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,49453.23,1898,31574.0,13634.68,Lot's O' Nuts,1397.71,5.03,32.881893,-111.768036,32.7767,-96.797
ORD-321275,2023-10-29,2023-11-01,Same-Day,CUST-5335,Phoenix,AZ,West,Sugar,PRD-S-002,SweeTARTS,23940.06,862,16562.34,5566.49,Sugar Shack,2101.19,3.83,48.11914,-96.18115,33.4484,-112.074
ORD-592738,2023-12-05,2023-12-12,Standard,CUST-5771,Chicago,IL,Midwest,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,1408.35,71,790.07,285.3,Lot's O' Nuts,2344.95,7.15,32.881893,-111.768036,41.8781,-87.6298
ORD-926097,2023-01-17,2023-01-21,Same-Day,CUST-4241,Phoenix,AZ,West,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,18867.24,633,9691.72,7345.72,Wicked Choccy's,2890.68,4.82,32.076176,-81.088371,33.4484,-112.074
ORD-422554,2023-08-06,2023-08-13,Standard,CUST-5728,Dallas,TX,South,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,10446.12,1215,7376.44,-326.75,Lot's O' Nuts,1397.71,7.45,32.881893,-111.768036,32.7767,-96.797
ORD-184349,2023-08-13,2023-08-14,Same-Day,CUST-1653,San Diego,CA,West,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,46927.79,2280,28516.15,17261.69,Lot's O' Nuts,504.36,1.76,32.881893,-111.768036,32.7157,-117.1611
ORD-901909,2023-08-10,2023-08-12,Same-Day,CUST-5415,Philadelphia,PA,East,Other,PRD-O-001,Fizzy Lifting Drinks,86427.43,4762,65748.19,11627.18,Sugar Shack,1900.9,2.66,48.11914,-96.18115,39.9526,-75.1652
ORD-765620,2023-10-23,2023-10-28,Express,CUST-9056,Chicago,IL,Midwest,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,30736.86,2328,17977.6,4024.8,Lot's O' Nuts,2344.95,5.93,32.881893,-111.768036,41.8781,-87.6298
ORD-402218,2023-02-16,2023-02-21,Express,CUST-7561,Philadelphia,PA,East,Sugar,PRD-S-003,Nerds,24279.53,1367,13597.62,6524.27,Sugar Shack,1900.9,5.38,48.11914,-96.18115,39.9526,-75.1652
ORD-101206,2023-10-09,2023-10-13,Standard,CUST-9889,San Diego,CA,West,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,113415.7,3361,60409.47,49615.9,Lot's O' Nuts,504.36,4.12,32.881893,-111.768036,32.7157,-117.1611
ORD-313446,2023-08-25,2023-09-01,Standard,CUST-5375,New York,NY,East,Sugar,PRD-S-002,SweeTARTS,108888.58,4133,59437.21,33456.34,Sugar Shack,1935.04,7.84,48.11914,-96.18115,40.7128,-74.006
ORD-350921,2023-10-09,2023-10-11,Express,CUST-3594,Phoenix,AZ,West,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,9675.06,286,5604.8,4038.63,Lot's O' Nuts,69.13,2.72,32.881893,-111.768036,33.4484,-112.074
ORD-972565,2023-06-09,2023-06-11,Same-Day,CUST-3522,New York,NY,East,Sugar,PRD-S-004,Fun Dip,16132.46,979,11671.36,2566.7,Sugar Shack,1935.04,2.98,48.11914,-96.18115,40.7128,-74.006
ORD-678043,2023-09-13,2023-09-16,Same-Day,CUST-3369,Phoenix,AZ,West,Other,PRD-O-004,Kazookles,115963.74,4002,78854.09,28965.53,The Other Factory,2035.01,3.51,35.1175,-89.971107,33.4484,-112.074
ORD-535098,2023-07-16,2023-07-20,Same-Day,CUST-6568,San Jose,CA,West,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,10521.81,621,5678.24,2517.48,Wicked Choccy's,3745.71,4.82,32.076176,-81.088371,37.3382,-121.8863
ORD-255813,2023-09-17,2023-09-21,Express,CUST-8316,New York,NY,East,Chocolate,PRD-C-005,Wonka Bar - Triple Dazzle Caramel,157574.0,4800,95920.97,52822.91,Wicked Choccy's,1149.76,4.82,32.076176,-81.088371,40.7128,-74.006
ORD-831380,2023-10-03,2023-10-08,Express,CUST-4912,Philadelphia,PA,East,Sugar,PRD-S-003,Nerds,137032.29,3780,71792.72,53742.95,Sugar Shack,1900.9,5.41,48.11914,-96.18115,39.9526,-75.1652
ORD-960616,2023-10-20,2023-10-25,Express,CUST-3492,Houston,TX,South,Sugar,PRD-S-002,SweeTARTS,60420.03,3173,34240.42,15809.88,Sugar Shack,2042.57,5.43,48.11914,-96.18115,29.7604,-95.3698
ORD-651499,2023-09-11,2023-09-14,Same-Day,CUST-8486,Chicago,IL,Midwest,Chocolate,PRD-C-001,Wonka Bar - Nutty Crunch Surprise,25400.8,872,15794.41,7561.59,Lot's O' Nuts,2344.95,3.83,32.881893,-111.768036,41.8781,-87.6298
ORD-455007,2023-01-08,2023-01-12,Express,CUST-7512,Chicago,IL,Midwest,Other,PRD-O-001,Fizzy Lifting Drinks,15772.23,662,7972.04,6777.91,Sugar Shack,965.13,4.87,48.11914,-96.18115,41.8781,-87.6298
ORD-611650,2023-11-29,2023-12-03,Same-Day,CUST-9864,Philadelphia,PA,East,Chocolate,PRD-C-002,Wonka Bar - Fudge Mallows,73157.37,2644,38078.86,26238.73,Lot's O' Nuts,3343.34,4.84,32.881893,-111.768036,39.9526,-75.1652
ORD-203225,2023-01-19,2023-01-28,Standard,CUST-2646,Los Angeles,CA,West,Sugar,PRD-S-005,Everlasting Gobstopper,49706.69,1913,30993.46,8935.39,Secret Factory,2555.63,9.75,41.446333,-90.565487,34.0522,-118.2437
ORD-356059,2023-08-16,2023-08-19,Standard,CUST-9702,Phoenix,AZ,West,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,40765.15,2453,25454.66,14971.33,Lot's O' Nuts,69.13,3.42,32.881893,-111.768036,33.4484,-112.074
ORD-711484,2023-07-30,2023-08-02,Standard,CUST-3344,Chicago,IL,Midwest,Sugar,PRD-S-005,Everlasting Gobstopper,66824.94,3183,45503.07,19739.67,Secret Factory,248.54,3.76,41.446333,-90.565487,41.8781,-87.6298
ORD-265649,2023-04-29,2023-05-03,Express,CUST-2210,Phoenix,AZ,West,Sugar,PRD-S-003,Nerds,126861.84,3861,71498.54,42382.98,Sugar Shack,2101.19,4.63,48.11914,-96.18115,33.4484,-112.074
ORD-503380,2023-08-15,2023-08-21,Express,CUST-8916,San Jose,CA,West,Sugar,PRD-S-001,Laffy Taffy,37585.53,2098,24866.62,4659.21,Sugar Shack,2401.01,6.12,48.11914,-96.18115,37.3382,-121.8863
ORD-515032,2023-02-24,2023-02-26,Same-Day,CUST-5497,San Antonio,TX,South,Chocolate,PRD-C-004,Wonka Bar - Milk Chocolate,24739.64,2468,13152.2,7423.3,Wicked Choccy's,1687.25,2.81,32.076176,-81.088371,29.4241,-98.4936
ORD-940886,2023-01-05,2023-01-08,Same-Day,CUST-6772,New York,NY,East,Sugar,PRD-S-005,Everlasting Gobstopper,58190.34,2394,39826.86,15039.98,Secret Factory,1388.26,3.51,41.446333,-90.565487,40.7128,-74.006
ORD-777737,2023-04-23,2023-04-25,Same-Day,CUST-1645,Houston,TX,South,Sugar,PRD-S-006,Hair Toffee,32610.41,1170,16875.75,14820.07,The Other Factory,781.7,2.54,35.1175,-89.971107,29.7604,-95.3698
ORD-535686,2023-06-08,2023-06-17,Standard,CUST-3877,San Diego,CA,West,Other,PRD-O-002,Lickable Wallpaper,22459.41,788,14691.8,3767.35,Secret Factory,2538.23,9.33,41.446333,-90.565487,32.7157,-117.1611
ORD-605254,2023-04-13,2023-04-18,Express,CUST-5835,Dallas,TX,South,Chocolate,PRD-C-003,Wonka Bar - Scrumdiddlyumptious,23221.63,1397,12369.81,7727.67,Lot's O' Nuts,1397.71,5.14,32.881893,-111.768036,32.7767,-96.797
ORD-516716,2023-06-23,2023-06-29,Express,CUST-6992,Los Angeles,CA,West,Other,PRD-O-002,Lickable Wallpaper,61396.97,1898,33978.2,19657.83,Secret Factory,2555.63,6.26,41.446333,-90.565487,34.0522,-118.2437
ORD-712955,2023-02-16,2023-02-21,Standard,CUST-7242,San Antonio,TX,South,Other,PRD-O-002,Lickable Wallpaper,82013.6,3069,46318.65,26390.4,Secret Factory,1515.89,5.75,41.446333,-90.565487,29.4241,-98.4936
